V1
PARAGUAY
""
""
""
""
                     Table 3. Paraguay: Operations of the Consolidated Public Sector 1/
                                                   (In percent of GDP)
                                                                                                Prel.    Proj.
                                                               2016           2017   2018      2019      2020
 Revenue                                                        19.1          18.6   18.8       19.6     19.2
     Tax revenue                                                 9.9          10.0   10.2       10.5      9.4
     Nontax revenue and grants 2/                                8.3           8.1    8.1        8.7      9.4
     Public enterprises operating surplus                        0.9           0.6    0.5        0.3      0.4
 Expenditure                                                    19.5          19.5   20.5       23.5     24.3
     Expense                                                    16.1          16.0   17.1       19.2     21.1
      Compensation of employees                                  8.6           7.9    8.6        9.3      9.7
      Purchases of goods and services                            2.2           2.0    2.3        2.5      2.9
      Interest payments                                          0.9           1.0    1.1        1.3      1.3
      Transfers 3/                                               3.5           4.4    4.4        4.5      5.6
        Current transfers                                        3.6           3.8    4.2        4.4      5.5
        Capital transfers                                       -0.1           0.6    0.2        0.1      0.1
      Other expense                                              0.8           0.7    0.7        1.6      1.6
 Gross operating balance                                         3.0           2.6    1.7        0.3     -1.9
     Net acquisition of nonfinancial assets                      3.4           3.5    3.3        4.2      3.3
 Net lending/borrowing (overall balance)                        -0.4          -0.9   -1.7       -3.9     -5.1
""
 Net financial transactions                                       0.4          0.9    1.7        3.9         5.1
     Net acquisition of financial assets                          1.9          2.5    2.4        0.2         0.2
     Net incurrence of liabilities                                2.3          3.4    4.1        4.1         5.3
      External                                                    2.3          1.9    2.2        2.2         1.3
            Disbursements                                         2.9          2.4    2.7        2.8         2.0
            Amortizations                                        -0.6         -0.5   -0.6       -0.6         -0.7
      Domestic                                                    0.3          1.5    1.5        1.5         4.1
          Domestic debt                                          -0.2          0.0    0.0        0.1         -0.1
              Disbursements                                       0.2          0.4    0.4        0.3         0.6
              Amortizations                                      -0.5         -0.4   -0.3       -0.2         -0.7
          Deposits                                                0.1          1.1    1.2        0.4         3.0
              Change in net deposits com.bks                     -0.2          0.4    1.2       -0.4         2.8
              Change in net deposits CBP                          0.3          0.7    0.0        0.8         0.2
          Quasi-fiscal deficit financing 4/                       0.4          0.4    0.3        1.0         1.1
      Other accounts payable                                     -0.3          0.0    0.4        0.4         0.0
""
 Memorandum items:
 Primary balance                                                 0.5           0.1   -0.6       -2.6     -3.9
 Public sector debt (excl. central bank bills)                  19.4          19.8   22.2       26.3     30.6
   Domestic public debt                                          4.1           4.0    4.2        4.5     4.3
     Foreign public debt                                        15.4          15.8   18.0       21.8     26.3
     Sources: Ministry of Finance; and IMF staff estimates and projections.
     1/ Includes the nonfinancial public sector and the central bank.
     2/ Includes social contributions and grants.
"     3/ Includes social benefits, grants, and capital transfers."
     4/ Corresponds to net losses of CB capital which are not automatically compensated by the government.
""
""
""
""
12     INTERNATIONAL MONETARY FUND
