V1
                                                                                                                                                                               QATAR
""
""
""
""
"                        Table 3a. Qatar: Summary of Central Government Finance, 2018-27   "
                                                                      (billions of Qatari Riyals unless otherwise noted))
                                                                                                                                                  Projections
                                                                           2018         2019        2020         2021        2022     2023     2024        2025        2026     2027
""
""
Revenue                                                                    207.9       214.7        171.2       194.2       280.0    306.3    285.5        274.1      277.9     292.2
 Oil                                                                        56.7        41.0         22.9        43.1        63.5     54.0     49.1         45.8       44.1      43.5
 LNG                                                                        57.3        35.4         24.6        57.1        87.0     73.3     65.0         65.3       70.5      80.9
 Investment income from public enterprises                                  59.1        90.3         80.6        55.5        82.3    121.4    114.0        106.1      105.4     108.3
 Corporate tax revenue                                                      17.6        29.7         27.5        20.9         27.9     37.7     36.8        35.8        36.5     37.9
 Other revenue                                                              17.2        18.4         15.6        17.7         19.3     19.9     20.5        21.2        21.5     21.6
Expenditure                                                                192.8       208.4        182.4       192.1       235.3    236.0    236.4        239.7      244.3     241.5
 Expense                                                                   111.2       124.1        115.9       119.6       157.7    159.6    161.2        166.3      172.7     179.5
   Compensation of employees                                                55.7        61.4         58.3        58.7        69.0     69.8     68.9         71.0       72.0      74.8
   Goods and services                                                       15.9        16.7         17.9        19.0        20.1     21.3     22.6         23.9       25.4      26.9
   Interest payments                                                         9.8        11.0         12.2        11.6        11.7     11.6     11.4         11.1       11.0      10.8
   Other expense                                                            29.7        35.0         27.5        30.4        57.0     56.9     58.4         60.3       64.4      67.1
 Net acquisition of nonfinancial assets                                     81.7        84.3         66.5        72.5         77.6     76.4     75.2        73.3        71.6     61.9
Gross operating balance                                                     96.8        90.6         55.3        74.6       122.2    146.7    124.2        107.7      105.2     112.7
Net lending (+)/borrowing (-)                                               15.1         6.3        -11.2         2.1        44.6     70.3     49.1         34.4       33.6      50.8
Financing
Domestic financing (net)
- Bank loans                                                               -23.7        -18.1         3.0         5.5          0.0      0.0      0.0            0.0      0.0      0.0
- Domestic securities                                                      -14.5         20.4        -5.7        19.4          0.0      0.0      0.0            0.0      0.0      0.0
- Domestic deposits                                                          5.3         14.3        -0.4       -27.1          0.0      0.0      0.0         0.0         0.0      0.0
Foreign borrowing                                                           36.4         40.0         3.3        -9.5         -3.6     -8.2    -10.9        -4.0        -7.3     -8.9
Other 2/                                                                   -18.6        -62.9        11.1         1.7        -41.0    -62.1    -38.1       -30.4       -26.4    -41.9
""
""
"Nonhydrocarbon Primary Fiscal Balance,"
in pct of nonhydrocarbon GDP 3/                                           -148.4      -152.7       -132.3      -142.7       -182.1   -180.4   -178.3      -179.1      -181.6   -177.0
Memorandum items
Total debt                                                                 348.2       398.6        381.7       381.7       378.1    369.9    358.9        354.9      347.7     338.8
 External debt                                                             164.2       225.3        228.9       219.5       215.9    207.7    196.7        192.7      185.5     176.6
 Domestic debt                                                             184.0       173.3        152.8       162.2       162.2    162.2    162.2        162.2      162.2     162.2
Total net debt 4/                                                          259.0       323.7        306.4       279.3       275.7    267.5    256.6        252.6      245.3     236.4
 o/w net domestic debt 4/                                                   94.8        98.4         77.5        59.9         59.9     59.9     59.9        59.9        59.9     59.9
External debt service/total revenue (percent)                                5.0          3.7        22.9          9.9         4.7      5.7      7.0            4.7      5.8      4.7
Total hydrocarbon revenue 5/                                               173.3       170.0        131.0       156.3       238.4    262.3    238.7        224.6      226.1     238.5
 as a share of total revenues (in percent)                                  83.4        79.2         76.5        80.5        85.1     85.6     83.6         82.0       81.4      81.6
""
Sources: Ministry of Economy and Finance; and IMF staff estimates and projections.
1/ GFSM 2001 based on staff estimates.
2/ Accumulation of foreign assets by the government.
3/ Nonhydrocarbon balance of central government (excluding the portion of investment income and corporate income tax from hydrocarbon activities).
4/ Government domestic debt less government domestic deposits.
5/ Include corporate income taxes and investment income from hydrocarbon activities.
""
""
""
""
                                                                                                                                INTERNATIONAL MONETARY FUND                        29
