V1
REPUBLIC OF SERBIA
""
""
""
"                         Table 6b. Serbia: General Government Fiscal Operations, 2018–27   "
""
""
                                                                      2018      2019      2020             2021                    2022                    2023            2024      2025       2026      2027
""
                                                                                                   CR 21/272        Prel.   CR 21/272       Proj. CR 21/272        Proj.     Proj.     Proj.      Proj.    Proj.
""
                                                                                                             (percent of GDP)
     Revenue                                                             41.5     42.0      41.0          43.6     43.3           41.7       41.3        41.7       41.6      41.7      41.6      41.6      41.6
      Taxes                                                              35.9     36.8      36.2          39.0     38.6           37.6       37.2        37.7       37.6      38.0      37.9      38.1      38.3
        Personal income tax                                               3.5      3.8       3.7           4.1      4.1            4.1        4.1         4.1        4.1       4.1       4.2       4.3       4.4
        Social security contributions 2/                                 12.2     12.5      12.2          13.9     13.8           13.8       13.7        13.6       13.8      14.0      14.0      13.9      14.0
        Taxes on profits                                                  2.2      2.3       2.2           2.6      2.5            2.2        2.1         2.4        2.4       2.5       2.5       2.5       2.5
        Value-added taxes                                                 9.9     10.2      10.0          10.6     10.5           10.2       10.1        10.2       10.1      10.1      10.0      10.0      10.1
        Excises                                                           5.7      5.7       5.6           5.4      5.3            5.0        4.9         5.1        5.0       5.0       4.9       4.9       4.9
        Taxes on international trade                                      0.9      0.9       0.9           1.0      1.0            0.9        0.9         0.9        1.0       1.0       1.0       1.1       1.0
        Other taxes                                                       1.5      1.5       1.5           1.5      1.5            1.4        1.4         1.4        1.4       1.4       1.4       1.4       1.4
      Non-tax revenue                                                     5.2      4.8       4.3           4.3      4.2            3.7        3.7         3.6        3.6       3.4       3.3       3.1       3.0
      Capital revenue                                                     0.1      0.2       0.3           0.0      0.2            0.0        0.0         0.0        0.0       0.0       0.0       0.0       0.0
      Grants                                                              0.3      0.3       0.2           0.3      0.3            0.4        0.4         0.4        0.4       0.4       0.4       0.3       0.3
""
     Expenditure                                                         40.9     42.2      49.0          48.5      47.4          44.7       44.3        43.2       43.1      42.9      42.7      42.6      42.7
      Current expenditure                                                36.4     36.9      42.8          40.3      39.0          37.0       37.5        36.2       36.2      35.9      35.6      35.5      35.6
        Wages and salaries 3/                                             9.2      9.5      10.5          10.2      10.0          10.0        9.9        10.0        9.7       9.9        9.8      9.8       9.8
        Goods and services                                                8.1      8.7      11.0          10.7      10.4            9.2       9.3          8.7       8.5       8.3        8.3      8.2       8.3
        Interest                                                          2.1      2.0       2.0           1.9       1.7            1.8       1.7          1.8       2.2       1.7        1.6      1.7       1.6
        Subsidies                                                         2.2      2.2       4.6           3.5       3.3            2.5       3.1          2.5       2.5       2.5        2.5      2.5       2.5
        Transfers                                                        14.7     14.4      14.7          14.0      13.6          13.6       13.5        13.3       13.3      13.4      13.5      13.4      13.5
         Pensions 4/                                                     10.4     10.5      10.9          10.1       9.9          10.1        9.9        10.0        9.8       9.8        9.8      9.8       9.8
         Other transfers 5/                                               4.4      4.0       3.8           3.8       3.7            3.5       3.6          3.3       3.5       3.6        3.6      3.7       3.7
      Capital expenditure                                                 3.9      4.9       5.3           7.8       7.4            7.2       6.6          6.7       6.6       6.6        6.8      6.9       7.0
      Net lending                                                         0.2      0.2       0.8           0.4       0.8            0.2       0.2          0.1       0.1       0.1        0.0      0.0       0.0
      Amortization of activated guarantees                                0.4      0.2       0.1           0.1       0.1            0.2       0.0          0.1       0.3       0.2        0.2      0.1       0.1
     Fiscal balance                                                       0.6     -0.2      -8.0          -5.0      -4.1           -3.0      -3.0         -1.5      -1.5      -1.1      -1.1      -1.1      -1.1
""
     Financing                                                           -0.6      0.2       8.0           5.0       4.1            3.0       3.0          1.5       1.5       1.1        1.1      1.1       1.1
      Privatization proceeds                                              0.1      0.9       1.0           0.0       0.0            0.0       0.0          0.0       0.0       0.0        0.0      0.0       0.0
      Equity investment                                                   0.0     -0.5       0.0           0.0       0.0            0.0       0.0          0.0       0.0       0.0        0.0      0.0       0.0
      Domestic                                                            1.0     -1.1       3.1           0.3      -1.0            2.2      -0.2          0.5      -0.8       0.0      -0.8      -0.8       0.2
      External                                                           -1.7      0.9       4.0           4.7       5.1            0.8       3.2          1.0       2.3       1.1       1.9       1.9       0.9
        Program                                                           0.0      0.0       0.0           0.0       0.0            0.0       0.1          0.0       0.0       0.0        0.0      0.0       0.0
        Project                                                           1.5      1.7       1.3           1.7       2.0            2.1       2.3          2.3       2.6       2.4        2.2      2.0       1.9
        Bonds and loans                                                   0.8      3.9       6.4           5.7       5.5            1.6       2.4          1.6       1.5       1.5        1.1      1.0       2.1
        Amortization                                                     -4.0     -4.7      -3.7          -2.7      -2.4           -3.0      -1.6         -2.9      -1.8      -2.8      -1.3      -1.2      -3.1
     Memorandum items:
      Gross 1 wages and salaries                                          7.8      8.1       9.0           8.7       8.6            8.6       8.5          8.5       8.3       8.4        8.3      8.3       8.3
      Arrears accumulation (domestic)                                     0.0      0.0      -0.1           0.0       0.0            0.0       0.0          0.0       0.0       0.0        0.0      0.0       0.0
      Government deposits (stock)                                         2.1      3.9       3.8           4.4       4.3            4.1       3.3          4.1       2.9       2.6        2.3      2.1       1.9
      Gross financing need                                                8.8     10.7      14.9          10.1       9.1            9.1       8.0          8.4       7.5       5.8        3.9      4.2       4.5
      Gross public debt 6/                                               54.4     52.8      57.9          58.3      57.2          56.5       55.1        53.9       50.8      47.2      44.7      42.3      40.3
      Gross public debt (including restitution) 6/                       59.2     57.2      62.3          62.2      61.1          60.0       58.6        56.9       53.7      49.7      46.8      44.0      41.7
"      Nominal GDP (billions of dinars)                                 5,073     5,422     5,502         6,147     6,269         6,725     6,931        7,295     7,711     8,437     9,172      9,952    10,759"
""
       Sources: Ministry of Finance; and IMF staff estimates and projections.
""
