V1
SIERRA LEONE
"Table 2c. Sierra Leone: Fiscal Operations of the Central Government on a Quarterly Basis,"
2018-19
(Billions of leone)
2018                                                                2019
Qi          Q2         Q3          Q4 annual            Qi          Q2         Q3          Q4 annual
"Act.        Act.        Act.        Act.        Act.           Pre,       Proj.       Proj.       Proj.       Proj."
Revenue                        361    1117   1127   1303 4426     1358   1209   1230   1505 5302
Personal Income Tax                               26         345         298         2o8       1158            352         326         341          385       1405
Corporate Income Tax                                  39            i          134          169          438                9?          115          120          136          463
Goods and Services Tax                      195        224        236        231        886          239        218        249        286        992
Excises                                                            ele)            4g            96          156          358             158          121           109          133          322
Import Duties                                     122        189        179        159        650           lf?        193        171        214        750
Other                                                            192          232          183          330          9338             345          235          240          350        1170
Grants                          113    117    125    317    673      104    713    164    434   1414
o/w Budget Support                              0           0           0        218        218              2        943           0        215        739
Expenditure                                         1873       1450       1519 2132 6974          1642 2153       1904 2361       8079
Wages 1/                                    913       g36       910       498     2057         one       652       630       b46     2o10
Goods and Services                                2o0         179         239         4s/       1155            ol         339         347         434       13/71
Subsidies and Transfers                       108          76        168        276        629           152        173         178        223        Te?
Other                                                              20            4d              9            vi            89                13              ts}              be]            11             AO
Interest                                                         240          250          215          256          961              efi          2a?          ef          303        1138
Capital Expenditure                        fas       365       3/8       997     2083         366       693       4/0       763     2293
Domestic primary balance 2/             -399        266        175       -221       -176          254       -334        -92        -16       -247
Balance incl. grants                      “B79     “217     -? 66     -511    -1873        -180     “251      -510     -44]    -13562
Financing                                                      879          217          266          511         1873             180          231          510          441         1362
Foreign                                                         215          163          196          141          T14               4?            32            nh)          148          eff
Disbursement (Projects)                         2596          256          2o6          2596        1023              159          153           147          2's          Tai
Disbursement (Budget)                          0            0            0            0            0               0            0            0            0            0
Amortization                                                -41            -93            -60         -115         -309             -11¥         -121            -92         -130         -460
Domestic                                                      bb4            a4            Tl          3/0        1159             138          799          455          294        1085
o/w SDR onlending (net)                     ve          ve          we          ve        183             ve          ve          ve          we        127
Sources: Sierra Leonean authorities: and Fund staff estimates and projections.
"1/ Starting in 2019, tertiary education wages are classified in the wage bill rather than under subsidies and transfers."
2/ Revenue less expenditures and net lending adjusted for interest payments and foreign financed capital spending.
INTERNATIONAL MONETARY FUND 25
