V1
DEMOCRATIC REPUBLIC OF SÃO TOMÉ AND PRÍNCIPE
""
""
""
""
" Table 2b. São Tomé and Príncipe: Financial Operations of the Central Government, 2017–26"
                                     (In percent of GDP)
                                                                                  2017       2018     2019          2020                 2021            2022     2023     2024     2025     2026
""
                                                                                                              Second     Proj.     Second     Proj.     Proj.    Proj.    Proj.    Proj.    Proj.
                                                                                                               Rev.                 Rev.
""
 Total revenue and grants 1                                                       24.9      24.1     22.0       28.2       25.3      21.5       25.7     24.8     24.0     23.9     23.8     23.5
   Total revenue                                                                   14.4      15.8     15.6       17.0       15.6      17.7       15.8     17.2     17.4     17.8     18.3     18.5
     Tax revenue                                                                   12.7      12.8     12.3       14.5       13.1      14.8       13.3     14.4     14.9     15.1     15.5     15.6
        Import taxes                                                                4.8       5.6      5.0        6.5        5.6       6.4        5.7      5.6      5.5      5.5      5.6      5.6
         Of which: payment to ENCO                                                   …         …       0.0        0.2        0.0       0.2        0.2      0.2      0.2      0.2      0.1      0.1
        Other taxes                                                                 7.9       7.1      7.3        8.0        7.6       8.5        7.6      8.8      9.4      9.6      9.9     10.0
        Nontax revenue 2                                                            1.7       3.1      3.3        2.5        2.4       2.9        2.5      2.8      2.5      2.7      2.8      3.0
          of which: oil revenue                                                     0.6       2.5      0.7        0.3        0.3       0.0        0.0      0.3      0.0      0.0      0.0      0.0
      Grants                                                                       10.5       8.3      6.4       11.2        9.7       3.8        9.9      7.6      6.6      6.1      5.5      5.0
        Project grants                                                              7.3       6.5      3.5        2.7        3.5       1.6        5.6      4.3      4.3      3.9      3.5      3.2
        Nonproject grants                                                           2.4       1.5      2.0        7.8        5.8       1.5        4.1      2.7      1.7      1.7      1.6      1.4
        HIPC Initiative-related grants                                              0.8       0.4      0.9        0.7        0.4       0.7        0.2      0.6      0.6      0.5      0.5      0.4
 Total expenditure                                                                27.6      26.0     22.1       26.7       23.1      25.4       27.2     25.2     25.0     24.4     24.0     23.8
   Of which: Domestic primary expenditure                                          16.1      17.8     16.6       21.8       18.4      21.4       19.1     18.7     17.4     17.4     17.5     17.7
   Current expenditure                                                             15.8      16.7     17.1       19.8       16.9      19.9       17.8     17.5     17.1     17.0     17.1     17.0
     Personnel costs                                                                8.3       9.3      9.0       10.9        9.3      11.1       10.0      9.8      9.6      9.5      9.5      9.5
     Interest due                                                                   0.5       0.4      0.7        0.5        0.3       0.4        0.4      0.4      0.4      0.3      0.3      0.2
     Goods and services                                                             3.1       3.0      2.5        2.8        2.3       2.7        2.4      2.4      2.4      2.4      2.4      2.4
     Transfers                                                                      2.9       3.2      2.8        3.5        3.2       3.6        3.2      3.2      3.1      3.1      3.2      3.2
        Other current expenditure 2                                                 0.9       0.8      2.1        2.0        1.7       2.0        1.8      1.7      1.7      1.7      1.7      1.7
      Capital expenditure                                                          11.7       9.2      4.8        3.3        3.2       3.6        7.7      6.4      7.6      7.2      6.7      6.6
        Financed by the Treasury                                                    0.7       1.4      0.1        0.3        0.2       0.3        0.3      0.4      0.4      0.4      0.4      0.7
        Financed by external sources                                               11.0       7.8      4.7        3.0        3.0       3.3        7.4      6.1      7.2      6.7      6.3      5.9
      HIPC Initiative-related capital expenditure                                   0.2       0.1      0.1        0.2        0.1       0.2        0.2      0.2      0.2      0.2      0.2      0.2
      COVID-19 spending                                                              …         …        …         3.5        2.9       1.7        1.5      1.0       …        …        …        …
          Financed by the Treasury                                                   …         …        …         2.0        1.6       1.4        1.3      1.0       …        …        …        …
          Financed by external sources                                               …         …        …         1.5        1.3       0.3        0.3      0.0       …        …        …        …
""
 Domestic primary balance 3                                                        -2.4      -4.2     -1.8       -5.3       -3.2      -3.9       -3.5     -2.0     -0.2      0.3      0.6      0.6
""
 Overall fiscal balance (commitment basis)                                         -2.7      -1.9     -0.1        1.5        2.2      -3.9       -1.5     -0.5     -1.0     -0.5     -0.2     -0.3
""
 Net change in domestic arrears                                                     0.1       0.9     -1.1       -0.8       -1.5      -0.8       -0.7     -0.2     -0.2     -0.2     -0.2     -0.2
 Float and statistical discrepancies                                               -0.7      -0.3      2.4        0.0        0.0       0.0        0.0      0.0      0.0      0.0      0.0      0.0
